image_name,comment
1000092795.jpg,Two young guys with shaggy hair look at their hands while hanging out in the yard .
10002456.jpg,Several men in hard hats are operating a giant pulley system .
1000268201.jpg,A child in a pink dress is climbing up a set of stairs in an entry way .
1000344755.jpg,Someone in a blue shirt and hat is standing on stair and leaning against a window .
1000366164.jpg," Two men , one in a gray shirt , one in a black shirt , standing near a stove ."
1000523639.jpg,Two people in the photo are playing the guitar and the other is poking at him .
1000919630.jpg,A man sits in a chair while holding a large stuffed animal of a lion .
10010052.jpg,A girl is on rollerskates talking on her cellphone standing in a parking lot .
1001465944.jpg,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
1001545525.jpg,Two men in Germany jumping over a rail at the same time without shirts .
1001573224.jpg,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window .
1001633352.jpg,Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
1001773457.jpg,A black dog and a white dog with brown spots are staring at each other in the street .
1001896054.jpg,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road .
100197432.jpg,Some women are standing in front of a bus with buildings behind it .
100207720.jpg,A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .
1002674143.jpg,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1003163366.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .
1003420127.jpg," A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments ."
1003428081.jpg," Two women , both wearing glasses , are playing clarinets and an elderly woman is playing a stringed instrument ."
100444898.jpg,A person in gray stands alone on a structure outdoors in the dark .
1005216151.jpg,A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .
100577935.jpg,A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .
1006452823.jpg," two children , a girl and a boy are practicing their writing ."
100652400.jpg,A man in a blue hard hat and orange safety vest stands in an intersection while holding a flag .
1007129816.jpg,The man with pierced ears is wearing glasses and an orange hat .
100716317.jpg,A person with long gray hair has a beret with beige and white wearing a blue raincoat is painting a marketplace scenery surrounded by other artists and paintings .
1007205537.jpg,A man stands on one foot while holding on to a waste basket .
1007320043.jpg,A small child grips onto the red ropes at the playground .
100759042.jpg,Young man in jacket holding a toothpick with something on the end of it
10082347.jpg,Young blond man in a blue and yellow jacket smiling while standing in front of a net .
10082348.jpg,A man with a baseball cap and black jacket stands in a bathroom while holding a coffee mug .
100845130.jpg,Five people walking with a multicolored sky in the background .
10090841.jpg,A man with black hair sits in a restaurant with a glass of beer .
1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .
1009692167.jpg,An officer in a reflective vest stands at the front of his van with his dog .
101001624.jpg," The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood ."
1010031975.jpg," Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van ."
1010087179.jpg,A tan man with a backwards hat looks at the camera while walking through a factory .
1010087623.jpg,A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor .
10101477.jpg," Man wearing a blue and white outfit , holding a broom , with a traditional Asian architecture in the background ."
1010470346.jpg,two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1010673430.jpg,A little girl in a pink shirt and a little girl in an orange shirt sitting in the grass .
101093029.jpg,A person in tan pants is inside a silver mobile object while people watch .
101093045.jpg," A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier ."
1011572216.jpg,bride and groom walking side by side out of focus on pathway next to brick building .
1012150929.jpg,A little boy plays with a Nintendo GameCube controller inside a McDonald 's .
1012212859.jpg,White dog with brown ears standing near water with head turned to one side .
1012328893.jpg,A group of people picnicking at picnic tables in front of a playground .
101262930.jpg," Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass ."
